Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
54,4/14/2020 10:11,640131172.9,6136.459,-69.06,157.13,740568,83.491,111.41,-99.99,112.64,-99.99,113.87,-99.99,186.71,-9.99,188.77,-9.99,190.83,-9.99,4.32192E+22,9.9,106.022,1.871
55,4/14/2020 10:11,640131173,6136.273,-69.07,157.13,738964,83.31,116.51,-99.99,117.74,-99.99,118.97,-99.99,188.32,-9.99,190.31,-9.99,192.3,-9.99,4.48076E+22,9.9,106.019,1.871
56,4/14/2020 10:11,640131173.1,6136.142,-69.07,157.12,737833,83.183,120.22,-99.99,121.45,-99.99,122.68,-99.99,188.44,-9.99,190.37,-9.99,192.29,-9.99,4.62068E+22,9.9,106.016,1.871
57,4/14/2020 10:11,640131173.1,6135.983,-69.07,157.12,736462,83.028,124.88,-99.99,126.11,-99.99,127.34,-99.99,188.49,-9.99,190.35,-9.99,192.2,-9.99,4.79848E+22,9.9,106.014,1.872
58,4/14/2020 10:11,640131173.2,6135.792,-69.07,157.12,734813,82.842,130.7,-99.99,131.93,-99.99,133.16,-99.99,189.6,-9.99,191.38,-9.99,193.16,-9.99,4.99283E+22,9.9,106.011,1.872
59,4/14/2020 10:11,640131173.3,6135.652,-69.08,157.12,733605,82.706,135.12,-99.99,136.35,-99.99,137.58,-99.99,189.86,-9.99,191.59,-9.99,193.32,-9.99,5.15442E+22,9.9,106.008,1.872
60,4/14/2020 10:11,640131173.3,6135.463,-69.08,157.11,731974,82.522,141.3,-99.99,142.53,-99.99,143.76,-99.99,190.91,-9.99,192.57,-9.99,194.23,-9.99,5.36092E+22,9.9,106.005,1.872
61,4/14/2020 10:11,640131173.4,6135.3,-69.08,157.11,730568,82.364,146.83,-99.99,148.06,-99.99,149.29,-99.99,191.86,-9.99,193.47,-9.99,195.07,-9.99,5.54317E+22,9.9,106.003,1.872
62,4/14/2020 10:11,640131173.5,6135.118,-69.09,157.11,728997,82.186,153.23,-99.99,154.46,-99.99,155.69,-99.99,193.25,-9.99,194.8,-9.99,196.35,-9.99,5.74303E+22,9.9,106,1.872
63,4/14/2020 10:11,640131173.5,6134.956,-69.09,157.11,727599,82.029,159.12,-99.99,160.34,-99.99,161.57,-99.99,194.37,-9.99,195.87,-9.99,197.38,-9.99,5.92917E+22,9.9,105.997,1.873
64,4/14/2020 10:11,640131173.6,6134.794,-69.09,157.11,726200,81.871,165.19,-99.99,166.42,-99.99,167.65,-99.99,195.35,-9.99,196.8,-9.99,198.26,-9.99,6.12487E+22,9.9,105.994,1.873
65,4/14/2020 10:11,640131173.7,6134.614,-69.09,157.1,724647,81.696,172.18,-99.99,173.41,-99.99,174.64,-99.99,196.8,-9.99,198.21,-9.99,199.62,-9.99,6.33663E+22,9.9,105.992,1.873
66,4/14/2020 10:11,640131173.7,6134.45,-69.1,157.1,723231,81.536,178.75,-99.99,179.98,-99.99,181.21,-99.99,198.09,-9.99,199.46,-9.99,200.82,-9.99,6.5357E+22,9.9,105.989,1.873
67,4/14/2020 10:11,640131173.8,6134.3,-69.1,157.1,721936,81.39,184.95,-99.99,186.18,-99.99,187.41,-99.99,198.97,-9.99,200.29,-9.99,201.61,-9.99,6.73261E+22,9.9,105.986,1.873
68,4/14/2020 10:11,640131173.9,6134.125,-69.1,157.1,720425,81.22,192.41,-99.99,193.64,-99.99,194.87,-99.99,200.29,-9.99,201.57,-9.99,202.85,-9.99,6.9578E+22,9.9,105.983,1.873
